,date,code,name,weight
139,2018-02-27,601601,中国太保,1.11
140,2018-02-27,601607,上海医药,0.22
141,2018-02-27,601608,中信重工,0.05
142,2018-02-27,601611,中国核建,0.06
143,2018-02-27,601618,中国中冶,0.19
144,2018-02-27,601628,中国人寿,0.39
145,2018-02-27,601633,长城汽车,0.13
146,2018-02-27,601668,中国建筑,1.17
147,2018-02-27,601669,中国电建,0.29
148,2018-02-27,601688,华泰证券,0.48
149,2018-02-27,601718,际华集团,0.06
150,2018-02-27,601727,上海电气,0.18
151,2018-02-27,601766,中国中车,0.65
152,2018-02-27,601788,光大证券,0.22
153,2018-02-27,601800,中国交建,0.18
154,2018-02-27,601818,光大银行,0.59
155,2018-02-27,601857,中国石油,0.45
156,2018-02-27,601866,中远海发,0.09
157,2018-02-27,601872,招商轮船,0.07
158,2018-02-27,601877,正泰电器,0.09
159,2018-02-27,601878,浙商证券,0.04
160,2018-02-27,601881,中国银河,0.06
161,2018-02-27,601888,中国国旅,0.44
162,2018-02-27,601898,中煤能源,0.09
163,2018-02-27,601899,紫金矿业,0.41
164,2018-02-27,601901,方正证券,0.23
165,2018-02-27,601919,中远海控,0.2
166,2018-02-27,601933,永辉超市,0.34
167,2018-02-27,601939,建设银行,0.48
168,2018-02-27,601958,金钼股份,0.06
169,2018-02-27,601966,玲珑轮胎,0.08
170,2018-02-27,601985,中国核电,0.29
171,2018-02-27,601988,中国银行,0.77
172,2018-02-27,601989,中国重工,0.46
173,2018-02-27,601991,大唐发电,0.1
174,2018-02-27,601992,金隅集团,0.15
175,2018-02-27,601997,贵阳银行,0.18
176,2018-02-27,601998,中信银行,0.18
177,2018-02-27,603160,汇顶科技,0.03
178,2018-02-27,603799,华友钴业,0.28
179,2018-02-27,603833,欧派家居,0.05
180,2018-02-27,603858,步长制药,0.03
181,2018-02-27,603993,洛阳钼业,0.19
182,2018-02-27,000001,平安银行,0.89
183,2018-02-27,000002,万科Ａ,1.35
184,2018-02-27,000008,神州高铁,0.11
185,2018-02-27,000060,中金岭南,0.14
186,2018-02-27,000063,中兴通讯,0.65
187,2018-02-27,000069,华侨城Ａ,0.24
188,2018-02-27,000100,TCL集团,0.26
189,2018-02-27,000157,中联重科,0.16
190,2018-02-27,000166,申万宏源,0.19
191,2018-02-27,000333,美的集团,2.1
192,2018-02-27,000338,潍柴动力,0.35
193,2018-02-27,000402,金 融 街,0.1
194,2018-02-27,000413,东旭光电,0.26
195,2018-02-27,000415,渤海金控,0.09
196,2018-02-27,000423,东阿阿胶,0.27
197,2018-02-27,000425,徐工机械,0.15
198,2018-02-27,000503,海虹控股,0.21
199,2018-02-27,000538,云南白药,0.42
200,2018-02-27,000540,中天金融,0.18
201,2018-02-27,000559,万向钱潮,0.1
202,2018-02-27,000568,泸州老窖,0.37
203,2018-02-27,000623,吉林敖东,0.16
204,2018-02-27,000625,长安汽车,0.2
205,2018-02-27,000627,天茂集团,0.09
206,2018-02-27,000630,铜陵有色,0.15
207,2018-02-27,000651,格力电器,2.12
208,2018-02-27,000671,阳光城,0.11
209,2018-02-27,000686,东北证券,0.1
210,2018-02-27,000709,河钢股份,0.14
211,2018-02-27,000723,美锦能源,0.07
212,2018-02-27,000725,京东方A,1.15
213,2018-02-27,000728,国元证券,0.16
214,2018-02-27,000738,航发控制,0.05
215,2018-02-27,000750,国海证券,0.12
216,2018-02-27,000768,中航飞机,0.17
217,2018-02-27,000776,广发证券,0.42
218,2018-02-27,000783,长江证券,0.24
219,2018-02-27,000792,盐湖股份,0.15
220,2018-02-27,000826,启迪桑德,0.13
221,2018-02-27,000839,中信国安,0.19
222,2018-02-27,000858,五 粮 液,1.22
223,2018-02-27,000876,新 希 望,0.14
224,2018-02-27,000895,双汇发展,0.23
225,2018-02-27,000898,鞍钢股份,0.11
226,2018-02-27,000938,紫光股份,0.08
227,2018-02-27,000959,首钢股份,0.08
228,2018-02-27,000961,中南建设,0.11
229,2018-02-27,000963,华东医药,0.23
230,2018-02-27,000983,西山煤电,0.12
231,2018-02-27,001979,招商蛇口,0.44
232,2018-02-27,002007,华兰生物,0.13
233,2018-02-27,002008,大族激光,0.4
234,2018-02-27,002024,苏宁易购,0.39
235,2018-02-27,002027,分众传媒,0.61
236,2018-02-27,002044,美年健康,0.2
237,2018-02-27,002065,东华软件,0.13
238,2018-02-27,002074,国轩高科,0.12
239,2018-02-27,002081,金螳螂,0.18
240,2018-02-27,002142,宁波银行,0.43
241,2018-02-27,002146,荣盛发展,0.16
242,2018-02-27,002153,石基信息,0.08
243,2018-02-27,002174,游族网络,0.08
244,2018-02-27,002202,金风科技,0.29
245,2018-02-27,002230,科大讯飞,0.45
246,2018-02-27,002236,大华股份,0.43
